product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
31567449,DressBerry Curve,Women,Dresses,Apparel,Dress,Dresses,3997,999,2998,1.0,(75% OFF),350.0,649.0,3.94827580451965,174,0,20,True,"XXL,3XL,4XL,5XL",True,2026-01-26,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 29,recommended
31056529,Golden Kite,Women,Dresses,Apparel,Dress,Dresses,2699,860,1839,1.0,(68% OFF),301.0,559.0,3.60999989509583,100,0,39,True,"XS,S,M,L,XL,XXL",True,2026-01-26,Winter,True,,False,2024,EXPRESS,Delivery By Jan 29,recommended
26011928,Oxolloxo,Women,Dresses,Apparel,Dress,Dresses,2999,509,2490,1.0,(Rs. 2490 OFF),179.0,330.0,4.66666650772095,12,0,6,True,"L,XL,XXL",True,2026-01-26,Winter,True,,False,2023,EXPRESS,Delivery By Jan 27,recommended
22455818,SASSAFRAS,Women,Dresses,Apparel,Dress,Dresses,1999,859,1140,1.0,(57% OFF),301.0,558.0,4.4679012298584,810,0,11,True,"XS,S,M,L,XL,XXL",True,2026-01-26,Summer,True,Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 29,recommended
25045080,Vishudh,Women,Dresses,Apparel,Dress,Dresses,2499,499,2000,1.0,(80% OFF),175.0,324.0,4.34361219406128,227,0,16,True,"S,M,L,XL,XXL",True,2026-01-26,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 27,recommended
15789882,Roadster,Women,Dresses,Apparel,Dress,Dresses,2699,647,2052,1.0,(Rs. 2052 OFF),227.0,420.0,4.13020849227905,192,0,3,True,"XS,S,M,L,XL",True,2026-01-26,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 27,recommended
10050195,Athena,Women,Dresses,Apparel,Dress,Dresses,2495,1197,1298,1.0,(52% OFF),350.0,847.0,4.19483470916748,2207,0,2,True,"XS,S,M,L,XL,XXL",True,2026-01-26,Summer,True,Myntra_Unique,True,2019,EXPRESS,Delivery By Jan 27,recommended
20264924,Trendyol,Women,Dresses,Apparel,Dress,Dresses,2299,804,1495,1.0,(65% OFF),201.0,603.0,3.64743590354919,156,0,5,True,"XS,S,M,L,XL",True,2026-01-26,Fall,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2022,EXPRESS,Delivery By Jan 27,recommended
31457662,StyleCast x Revolte,Women,Dresses,Apparel,Dress,Dresses,3249,1234,2015,1.0,(62% OFF),350.0,884.0,4.27777767181397,36,0,52,True,"S,M,L,XL",True,2026-01-26,Fall,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2024,,,recommended
38410149,Sangria,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,5399,1648,3751,1.0,(69% OFF),300.0,1348.0,0.0,0,0,3,True,"S,M,L,XL,XXL",True,2026-01-26,Summer,False,Myntra_Unique,True,2026,,,recommended
