product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
18377706,StyleStone,Women,Dresses,Apparel,Dress,Dresses,1999,999,1000,1.0,(50% OFF),350.0,649.0,4.321703433990479,1949,0,7,True,"S,M,L,XL,XXL",True,2026-01-24,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2022,EXPRESS,Delivery By Jan 27,recommended
36266708,Phosphorus,Women,Dresses,Apparel,Dress,Dresses,2799,643,2156,1.0,(77% OFF),161.0,482.0,3.909090995788574,11,0,9,True,"XS,S,M,L,XL",True,2026-01-24,Fall,True,,False,2025,EXPRESS,Delivery By Jan 27,recommended
32438638,Claura,Women,Dresses,Apparel,Dress,Dresses,2939,793,2146,1.0,(73% OFF),199.0,594.0,4.256838798522949,658,0,94,True,"S,M,L,XL,XXL",True,2026-01-24,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Jan 27,recommended
23985140,Biba,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3999,1599,2400,1.0,(60% OFF),350.0,1249.0,4.0804595947265625,87,0,25,True,"S,M,L,XL,XXL,3XL",True,2026-01-24,Winter,False,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 25,recommended
29939404,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3049,1219,1830,1.0,(60% OFF),350.0,869.0,4.072727203369141,55,0,175,True,"S,M,L,XL",True,2026-01-24,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2024,,,recommended
32907590,DressBerry,Women,Dresses,Apparel,Dress,Dresses,3699,1294,2405,1.0,(65% OFF),350.0,944.0,3.615384578704834,13,0,1,True,"S,M,L,XL,XXL",True,2026-01-24,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 27,recommended
17811482,Sera,Women,Dresses,Apparel,Dress,Dresses,1998,577,1421,1.0,(Rs. 1421 OFF),202.0,375.0,4.174502849578857,1106,0,4,True,"S,M,L,XL",True,2026-01-24,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2022,EXPRESS,Delivery By Jan 27,recommended
32119155,Boholyfe,Women,Dresses,Apparel,Dress,Dresses,1850,1165,685,1.0,(Rs. 685 OFF),350.0,815.0,4.172062873840332,1081,0,79,True,Onesize,False,2026-01-24,Summer,True,,False,2025,EXPRESS,Delivery By Jan 27,recommended
23448558,MomToBe,Women,Dresses,Apparel,Dress,Dresses,4997,999,3998,1.0,(Rs. 3998 OFF),350.0,649.0,3.945945978164673,222,0,31,True,"M,L,XL,XXL",True,2026-01-24,Summer,True,Festive_Price_Crash|GST_Benefit_Included|Crazy_Deal,True,2023,EXPRESS,Delivery By Jan 27,recommended
31831447,StyleCast x Revolte,Women,Dresses,Apparel,Dress,Dresses,3849,1308,2541,1.0,(66% OFF),350.0,958.0,5.0,5,0,50,True,"S,M,L",True,2026-01-24,Fall,True,Myntra_Unique,True,2024,,,recommended
30417583,StyleCast x Revolte,Women,Dresses,Apparel,Dress,Dresses,3199,1055,2144,1.0,(67% OFF),350.0,705.0,4.223048210144043,269,0,94,True,"S,M,L,XL",True,2026-01-24,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 27,recommended
36266543,Phosphorus,Women,Dresses,Apparel,Dress,Dresses,2199,615,1584,1.0,(72% OFF),154.0,461.0,3.625,8,0,23,True,"XS,S,M,L,XL",True,2026-01-24,Fall,True,,False,2025,EXPRESS,Delivery By Jan 27,recommended
33280488,Berrylush,Women,Dresses,Apparel,Dress,Dresses,2399,1079,1320,1.0,(55% OFF),350.0,729.0,3.909090995788574,11,0,16,True,"XS,S,M,L,XL",True,2026-01-24,Summer,True,,False,2025,EXPRESS,Delivery By Jan 27,recommended
